DATE,COUNTY,TEST_POS,TEST_NEG,DEATHS_TOT
4/6/20,Greene,17,92,1
4/6/20,Grundy,15,52,0
4/6/20,Hamblen,4,128,0
4/6/20,Hamilton,83,888,9
4/6/20,Hancock,0,12,0
4/6/20,Hardeman,6,91,0
4/6/20,Hardin,2,152,0
4/6/20,Hawkins,14,77,1
4/6/20,Haywood,5,52,0
4/6/20,Henderson,1,104,0
4/6/20,Henry,5,103,0
4/6/20,Hickman,2,83,0
4/6/20,Houston,2,85,0
4/6/20,Humphreys,3,61,0
4/6/20,Jackson,3,47,0
4/6/20,Jefferson,7,119,0
4/6/20,Johnson,2,12,0
4/6/20,Knox,119,1177,3
4/6/20,Lake,0,20,0
4/6/20,Lauderdale,5,64,0
4/6/20,Lawrence,4,164,0
4/6/20,Lewis,2,21,0
4/6/20,Lincoln,5,64,0
4/6/20,Loudon,13,158,0
4/6/20,Macon,11,169,1
4/6/20,Madison,22,313,0
4/6/20,Marion,20,67,1
4/6/20,Marshall,9,143,0
4/6/20,Maury,24,495,0
4/6/20,McMinn,3,216,0
4/6/20,McNairy,4,83,0
4/6/20,Meigs,2,55,0
4/6/20,Monroe,6,138,0
4/6/20,Montgomery,54,734,1
4/6/20,Moore,0,18,0
4/6/20,Morgan,5,47,0
4/6/20,Non-Tennessee Resident,290,7862,0
4/6/20,Obion,2,81,1
4/6/20,Overton,4,123,0
4/6/20,Pending,69,7351,2
4/6/20,Perry,3,30,0
4/6/20,Pickett,0,16,0
4/6/20,Polk,3,27,0
4/6/20,Putnam,55,430,0
4/6/20,Rhea,0,128,0
4/6/20,Roane,5,187,0
4/6/20,Robertson,60,455,0
4/6/20,Rutherford,161,1385,3
4/6/20,Scott,3,66,0
4/6/20,Sequatchie,2,33,0
4/6/20,Sevier,16,312,0
4/6/20,Shelby,766,3396,13
4/6/20,Smith,3,125,0
4/6/20,Stewart,2,66,0
4/6/20,Sullivan,25,211,1
4/6/20,Sumner,335,1221,15
4/6/20,Tipton,36,275,0
4/6/20,Trousdale,11,44,1
4/6/20,Unicoi,1,31,0
4/6/20,Union,1,34,0
4/6/20,Van Buren,0,25,0
4/6/20,Warren,1,134,0
4/6/20,Washington,24,320,0
4/6/20,Wayne,2,45,0
4/6/20,Weakley,5,97,0
4/6/20,White,2,128,0
4/6/20,Williamson,260,1849,2
4/6/20,Wilson,97,996,0
4/7/20,Anderson,11,270,0
4/7/20,Bedford,10,164,0
4/7/20,Benton,4,58,0
4/7/20,Bledsoe,3,32,0
4/7/20,Blount,41,349,2
4/7/20,Bradley,25,268,0
4/7/20,Campbell,6,101,0
4/7/20,Cannon,7,82,0
4/7/20,Carroll,8,141,0
4/7/20,Carter,3,95,0
4/7/20,Cheatham,13,331,0
4/7/20,Chester,7,85,0
4/7/20,Claiborne,2,71,0
4/7/20,Clay,1,78,0
4/7/20,Cocke,2,76,0
4/7/20,Coffee,7,223,0
4/7/20,Crockett,0,52,0
4/7/20,Cumberland,32,525,0
4/7/20,Davidson,888,6359,9
4/7/20,Decatur,0,57,0
4/7/20,DeKalb,7,119,0
4/7/20,Dickson,27,210,0
4/7/20,Dyer,10,130,0
4/7/20,Fayette,21,189,0
4/7/20,Fentress,2,84,0
4/7/20,Franklin,14,136,1
4/7/20,Gibson,13,226,0
4/7/20,Giles,3,112,0
4/7/20,Grainger,3,54,0
4/7/20,Greene,18,117,1
4/7/20,Grundy,16,69,0
4/7/20,Hamblen,4,150,0
4/7/20,Hamilton,95,1025,9
4/7/20,Hancock,0,12,0
4/7/20,Hardeman,6,104,0
4/7/20,Hardin,2,166,0
4/7/20,Hawkins,16,104,1
4/7/20,Haywood,6,60,0
4/7/20,Henderson,2,122,0
4/7/20,Henry,6,121,0
4/7/20,Hickman,2,85,0
4/7/20,Houston,2,88,0
4/7/20,Humphreys,4,69,0
4/7/20,Jackson,3,51,0
4/7/20,Jefferson,10,139,0
4/7/20,Johnson,2,13,0
4/7/20,Knox,143,1530,3
4/7/20,Lake,0,22,0
4/7/20,Lauderdale,5,74,0
4/7/20,Lawrence,6,197,0
4/7/20,Lewis,2,23,0
4/7/20,Lincoln,6,67,0
4/7/20,Loudon,15,176,0
4/7/20,Macon,12,178,1
4/7/20,Madison,43,450,0
4/7/20,Marion,21,80,1
4/7/20,Marshall,9,149,0
4/7/20,Maury,26,524,0
4/7/20,McMinn,3,254,0
4/7/20,McNairy,5,90,0
4/7/20,Meigs,2,58,0
4/7/20,Monroe,6,156,0
4/7/20,Montgomery,65,850,2
4/7/20,Moore,0,24,0
4/7/20,Morgan,5,55,0
4/7/20,Non-Tennessee Resident,281,8984,2
4/7/20,Obion,3,89,1
4/7/20,Overton,4,148,0
4/7/20,Pending,68,8041,1
4/7/20,Perry,3,32,0
4/7/20,Pickett,0,18,0
4/7/20,Polk,3,31,0
4/7/20,Putnam,57,482,0
4/7/20,Rhea,0,147,0
4/7/20,Roane,5,206,0
4/7/20,Robertson,65,510,0
4/7/20,Rutherford,178,1602,3
4/7/20,Scott,4,80,0
4/7/20,Sequatchie,1,48,0
4/7/20,Sevier,18,366,0
4/7/20,Shelby,835,3589,15
4/7/20,Smith,3,137,0
4/7/20,Stewart,2,77,0
4/7/20,Sullivan,26,256,1
4/7/20,Sumner,361,1358,15
4/7/20,Tipton,38,293,0
4/7/20,Trousdale,14,49,1
4/7/20,Unicoi,1,39,0
4/7/20,Union,1,39,0
4/7/20,Van Buren,0,28,0
4/7/20,Warren,2,157,0
4/7/20,Washington,27,361,0
4/7/20,Wayne,2,52,0
4/7/20,Weakley,5,113,0
4/7/20,White,2,160,0
4/7/20,Williamson,278,2023,3
4/7/20,Wilson,113,1092,0
4/8/20,Anderson,11,290,1
4/8/20,Bedford,12,178,0
4/8/20,Benton,4,65,0
4/8/20,Bledsoe,3,34,0
4/8/20,Blount,42,383,2
4/8/20,Bradley,28,277,0
4/8/20,Campbell,6,104,0
4/8/20,Cannon,7,91,0
4/8/20,Carroll,8,154,0
4/8/20,Carter,3,110,0
4/8/20,Cheatham,13,355,0
4/8/20,Chester,6,90,0
4/8/20,Claiborne,2,79,0
4/8/20,Clay,2,92,0
4/8/20,Cocke,2,80,0
4/8/20,Coffee,7,226,0
4/8/20,Crockett,0,53,0
4/8/20,Cumberland,33,560,0
4/8/20,Davidson,946,6588,13
4/8/20,Decatur,1,59,0
4/8/20,DeKalb,7,153,0
4/8/20,Dickson,26,235,0
4/8/20,Dyer,11,153,0
4/8/20,Fayette,22,216,0
4/8/20,Fentress,2,95,0
4/8/20,Franklin,17,139,1
4/8/20,Gibson,13,243,0
4/8/20,Giles,3,117,0
4/8/20,Grainger,3,60,0
4/8/20,Greene,20,124,1
4/8/20,Grundy,16,69,0
4/8/20,Hamblen,4,171,0
4/8/20,Hamilton,94,1053,9
